current_price,predicted_price,price_change_pct,confidence (%),signal
262.5199890136719,248.1857052712267,-0.05460263729364489,5.46,SELL
262.5199890136719,250.63058805645443,-0.04528950729385508,4.53,SELL
262.5199890136719,250.63058805645443,-0.04528950729385508,4.53,SELL
262.5199890136719,250.63058805645443,-0.04528950729385508,4.53,SELL
262.5199890136719,250.63058805645443,-0.04528950729385508,4.53,SELL
262.5199890136719,250.63058805645443,-0.04528950729385508,4.53,SELL
262.5199890136719,250.63058805645443,-0.04528950729385508,4.53,SELL
262.5199890136719,250.63058805645443,-0.04528950729385508,4.53,SELL
262.5199890136719,250.63058805645443,-0.04528950729385508,4.53,SELL
262.5199890136719,250.63058805645443,-0.04528950729385508,4.53,SELL
256.8500061035156,238.87135985074326,-0.06999667442299617,7.0,SELL
256.8500061035156,238.87135985074326,-0.06999667442299617,7.0,SELL
